WDPA_PID,WDPAID,NAME,ISO3,IUCN_CAT,MARINE,GIS_M_AREA
19963_A,19963,Hannah Bay Bird Sanctuary,CAN,Ib,2,58.6907884701062
20064,20064,La Encrucijada,MEX,Ia,1,319.178502620167
21022,21022,Hanauma Bay Marine Life Conservation District,USA,Ia,1,0.363910741503664
21038,21038,Ahihi-Kinau Natural Area Reserve,USA,Ia,1,4.9850816122609
23441,23441,Boondelbah,AUS,Ia,1,0.038949288521567
23482,23482,Cook Island,AUS,Ia,1,0.011675085912725
23531,23531,Julian Rocks Nguthungulli,AUS,Ia,1,0.012126606284365
23547,23547,Little Broughton Island,AUS,Ia,1,0.024728958124646
23573,23573,Moon Island,AUS,Ia,1,0.018001297524064
23599,23599,North Rock,AUS,Ia,2,0.0325649450438
23600,23600,North Solitary Island,AUS,Ia,1,0.019903144877423
23624,23624,Richmond River,AUS,Ia,1,0.305372862317405
23637,23637,Seal Rocks,AUS,Ia,2,0.01629049614441
23644,23644,Snapper Island,AUS,Ia,1,0.015794519650395
23645,23645,Spectacle Island,AUS,Ia,1,0.102126475073635
23646,23646,Split Solitary Island,AUS,Ia,1,0.018752026346049
23650,23650,Stormpetrel,AUS,Ia,1,0.014519467105757
23665,23665,Tollgate Islands,AUS,Ia,1,0.039881418013114
24285,24285,Althorpe Islands,AUS,Ia,1,0.164284111750007
24286,24286,Avoid Bay Islands,AUS,Ia,1,0.069104907155927
24292,24292,Baudin Rocks,AUS,Ia,1,0.004000978073642
24294,24294,Beatrice Islet,AUS,Ia,2,0.96299459878882
24330,24330,Eba Island,AUS,Ia,1,0.177377410762936
24349,24349,Greenly Island,AUS,Ia,1,0.178463763430233
24401,24401,Mount Dutton Bay,AUS,Ia,1,0.01865880129941
24419,24419,Neptune Islands,AUS,Ia,2,140.987951725477
24429,24429,Penguin Island,AUS,Ia,1,0.01373239142251
24432,24432,Pigface Island,AUS,Ia,1,0.012673785562901
24439,24439,Pullen Island,AUS,Ia,1,0.003309191775547
24444,24444,Rocky Island (North),AUS,Ia,1,0.008373115689545
24445,24445,Rocky Island (South),AUS,Ia,1,0.02389522868371
24448,24448,Salt Lagoon Islands,AUS,Ia,1,0.294051841040621
24456,24456,Sinclair Island,AUS,Ia,1,0.007744355691766
24457,24457,Sir Joseph Banks Group,AUS,Ia,2,468.010404560529
24473,24473,The Pages,AUS,Ia,2,70.1631233230231
24479,24479,Tumby Island,AUS,Ia,1,0.095790682698817
24491,24491,Whidbey Isles,AUS,Ia,1,0.221086394807
26017,26017,Nuyts Reef,AUS,Ia,1,0.061761505216703
28137,28137,Lambda Island,BMU,Ia,1,0.000694967774993
28584_A,28584,Shark Bay,AUS,Ia,1,324.055869540446
30717,30717,Hongdo Island,KOR,Ia,1,1.2059864266569
30765,30765,2002735 Käringboda,SWE,Ia,1,1.69581403666087
30772,30772,2001921 Nynäs,SWE,Ia,1,4.13935806534599
